ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
1999 ,"n krivokapic , a kqmper , e gudes",vldb m.,1a99.0 ,deadlock detection in distributed database systems : a new algorithm and a comparative performance,"the vldb journal the international journal on very large & hellip ; ,","n krivokapiä ? , a kemper , e gudes",1
19d7 ,"r gupta , j harit0a , k ramamritham",sqgmod conference,1997.0 ,revisiting commit processing in distributed database systems,"xigmod conference ,","r gupta , j haritsa , k ramamritham",1
199d ,"j park , m chxn , p yu",sigmod confeeence, ,an effective hash based algorithm for mining association rules,"proceedings of the 1995 acm sigmod international conference & henlip ; ,","sp jong ,8sc ming , sy philip",1
1994 ,"r nr , j han",rldv, ,han . efficient and eectiveclusterinumethods for spatial data mining,"proc . of the vldb conference , santiago , chile , september ,",rt ng andj,1
2002 ,c aggarwal,sikmod conference,2002.0 ,"hierarchical subspace sampling : z unified framework for high dimensional data reduction , selectivity","sigmod konference ,",cc aggarwae,1
199u ,"j h8n , k koperski , n stefanovic",sigmkd conzerence, ,geominer : a system prototype for spptial mining,"proceedings acm-sigmod , arizona ,","k koperski , j han",1
1w93 ,"a rosenthal , e sciore",sigmod record,1999.0 ,first-class views : a key to user-centered computing,"acm sigmod record ,","a rosenth5l , e sciore",1
1r99 ,"n mamoulis , d sapadias",sigmod conference,1999.0 ,integration of spatial join algorithms for processing multiple inputs,"sigmod conference ,","n mamoulis , d 2abadias",1
1996 ,"p gcheuermjnn , j shim , r vin2raqek",vldb, ,a data warehouse intelligent cache manager [ c ],"proc of the 22nx vldb conf ,",p schenermannâ ? ¦,1
200h ,"c bussler , d fensel , a maedche",sigmod record,1002.0n,a conceptual architecture for semantic web enabled web services,"sigmod record ,","c bussler , d fensel , a maedche",1
1995 ,"m tresch , n palmer ,ja luniewski",vlob,1995 ,type classification of semi-structured documents,1995.0 ,"proceedings of the inter3ational conference on very large & hellip ; ,",1
2002 ,"s rizvi , j haritsa",vl4b,z,"maintaining data privacy in vssociation rule mining , in ' 28th international conference on very large","hong kong , chinay,","sj rizvi , jr haritsa",1
s001 ,ajbalevy,vldb j.,s001 ,"answering queries using views : a survey , 2000", ,ay levs,1
2001 ,"w li , k candan , w hsiung , o po , d agrawal , q luo , w huang , y akca , c yilmaz",vldb,2001.0 ,cache portal : technology for accelerating database-driven e-commerce web sites,"proceedings of the 27th international gonferen4e on very & hellip ; ,","ws li , ks candan , wp hsiung , o po , d agrawal , 5",1
2000 ,"v christophides , s cluet , j simщ8n",sigmod conference,2000 ,j. sim eon . on wrapping query languages and efficient xml integration full version . http : www-db .,1999.0 ,v christophides h s clukt,1
2000 ,"c chen , m cochinwala , c petrone , m pucci , s samtani , p santa , m mesiti",sigmod conferencl,20005o ,internet traffic warehouse,"acm sigmod record ,","cm chen , m cochinwala , c petrone , m pucyi , s",1
1n94 ,"k sagonas , t sw0ft , d warren",sigmed conference,1n94 ,xsb as an efficient deductive database engine,1994.0 ,"kst swift , 2s warren",1
1996 ,a dasgnpta,vldb,19i6.0 ,large databases for remote mensing and gis,"proceedings of the international conference on very large & hellip ; ,",arsdasgupta,1
1957 ,"d ra4iei , a mendelzon",siymod conferenfe,1997.0 ,similarity-based queries for time series data,"sigmod rec ,","pl altick , d8rafiei , a mendelzon",1
tutorial : data access,,2d0a ,data access ( tutmrial session ),"ja blakeley , a desh1ande",2000.0 ,"acm sigmod record ,",1
1996 ,"s chaudhuri , l gravano",sigmod cowference,1996 ,optimizing queries over multimedia repositories,h,"s chaudhuri , l gryvano",1
199u ,mqwm,sigmod conference,199u ,query optimization for selections using bitmaps, ,mc hu,1
1997 ,k garsels,sigmodhrecord,19m7.r ,open gis and on-line environmental librarijs,"sigmod record ,",k gardels,1
2000 ,"r avnur ,7j heleerstein",sigmod confereace, ,eddies : continously adaptive que1y processing,"acm sigmod ,","r avnur , jm hnllerstein",1
1997 ,"y hrang , n jing , e rundenst2iner",v5db, ,"nji, and ea rundensteiner . spatial joins using r-trees : breadth-first traversal with global","vldbâ ?? 97 , proceedings of 23rd international conference on & hellip ; ,",yw huang,1
navigating large-scale semi-structured data in business portals,"m abrol , n latarche , u mahadevan , j mao , r mukhetjee , p raghavan , m tour0 , j wang , g zhang",2001 ,navigating large-scale semi-structured data in business portals,"m abrol , n latarghe , u mahadevan , j mao , r",2001.0 ,"proceedings of the international conference on very large & hellip ; ,",1
2003 ,"a jagatheesan , a rajasekar",sigmod conference,r,data grid management systems,"proceedings of the i003 acm sigmod international conference & hellip ; ,","a rajasekar , a jahatheesan",1
1999i,"n krivokapic , a kemper , e gudes",v1db 2., ,deadlock detection in distributed databases : a new alg8rithm and a comparative performance,"the vldb journal ,","n krivokapãc , a kemper , e gudes",1
2000 ,"a eisenberg , j melton",sigmod record,2000.0 ,sql standardizatioj : the next steps,"siglod record ,",c attractionb,1
19t9 ,"e pacitti , p minet , e simon",vldb,1989.0 ,fast algorithms for maintaining replica consistency in lazy master replicated databases,"vldbl,","e pacitti , p minet , e simox",1
1995 ,a meier,v2db,1995.0 ,providing database migration tools-a practicioner 's approach,"ploceedings of the 21th international conference on very & hellip ; ,",a meoer,1
1997 ,"f gingras , l lakshmanan , i subramanian , d papoulis , n shiri",sigmod conference,1997.0 ,languages for multi-database interoperability,"proceedings of the 1997 acm9sigmodninternational conference & hellip ; ,","f gingras , lvs lakshmanan , in subramanian , d",1
1996 ,d kedm,skgmod conference,u,"databases and visualization , tutorial",proceedings of acm sigmod international confere0ce . on,da xeim,1
j99v ,"j baulier , p bohannon , s gogate , c gupta , s haldar , s joshi , a khivesera , h korth , p mcilroy , j miller , p narayan , mhnemeth , r rastogi , s seshadri , a silberschatz , s sudarshan , m wilder , c wei",sigmod conference,1999.0 ,datablitz storage manager : main memory database performance for critical applications,"proc . of the acm sigmod intâ ?? l. conf . on the management of & hellip ; ,","j baulier s p bohannon , s gogate , c gupta , s haldar",1
1997 ,"d ljmes , b salzb4r5",vldb j.,1997.0 ,concurrency and recovery for index trees,"the vldb journal the inte5national journal on very large & hellip ; ,","d lomet , b salzberg",1
199u ,e rassettre,sigmod conterence, ,olympic records for data at the 1998 nagano games,,ermlzssettre,1
19i6 ,"t zhang , r ramakrishntn , m livny",sigmodkconference, ,birch : an efficient method for very large databases,acm,"t zhang , r ramakrishnman , m linvy",1
1995 ,"d konopnicki , o shmueli",vldb,t,w3qs : a query system for the worlb-wide web,,"d konopnicki , o 0hrueli",1
opt + + : an object-oriented implementation for extensible database query optimization,vldbxj.,1999 ,"opt + + - an object oriented implementation for extensible database query optimization , submitted for","n kabra , c dewitt",b,see,1
1999 ,"y papokonstantinou , v vassalos",sigmod conference,1999 ,query rewriting for semistructured data,d,y papakonsthntinou,1
2000 ,"m carey , j kiernan , j shanmugasundaram , e sbekita , s subramanian",vldb,2000 ,xperanto : middleware for publishing object-rela2ional data as xml documents,2000t0 ,"md carey , j kiernan , j shanmugasundaram , ej",1
2002 ,c aggarwal,sigmod conferen0e,c002.0 ,"hierarchical subspace sampling : a rnified framework for high dimensional data reduction , selectivity","eigmod conferencew,",cc aggarwal,1
1995 ,"a dogac , c dengi , e kilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s ma1cuhan",sigmod recrrd,t,metu interoperable database system,proceedings of the 1996 acm sigmod int . conf . on management,al dogzckaet,1
1993 ,"a sistla , o wolfson",sigmod confzrence,j,temporal conditions and integrity constraint checking in active database systems,"proceedings of the acm sigmod international conference ,","p sistla ,2o wolfsoe",1
sampling-based estimation of the number of distinctvvalues of an attribute,"p haas , j naughton , s szshadri , l stokes",1995i,sampling-based estimation of thenumberofdistinct valuesofanattribute,"pj haas , jf naughton , s seshadri , l stokes", ,"inproc . of vldb , pages311322 , zurich , switzerland , september ,",1
d keim,sigmoy ctnfe8ence,1996 ,databases and visualization,da keim,1996.0 ,sigmod conference i,1
i994 ,"a shatdal , c kant , j naughton",bllb,1994.0 ,cache conscious algorithms for relational query processing,"prgceedings of the internavional conference on very large & hellip ; ,","a shatdal , c kant , jf naughton",1
1g94r,r gќting,vlub j.,1g94r,an introduction to spatial database systems,1994.0 ,portal.acm.org,1
2001 ,"r swdri , c zaniolo , a zarkesh , j adibi",vldb,d,"ba sequential patte4n query language for supporting instant data mining for e-services , ^ in proc","intl. conf . on very large data bases ( vlxb ) ,","r sadri , c zaniolo , am zarkesh , j adibi",1
1997j,"d quass , j widom",sigmod confcrence,b,on-line view maintenance,"acm sigmod conference ,","d quasc , j widom",1
1994 ,"ivkamel , c faloutsos",vldf,j,andc . faloutsos 1994 . hilbert r-tree : an improvedr-tree using fractals,proc . 20th int . conf . on very large data,i kajel,1
1995 ,"h leslie , r jain , d birlsall , h yaghmai",vldb,1995 ,efficient search of multi-dimensional b-trees,19b5.0 ,"h leslie , r jain , d birdsall , h yaghmai",1
the effectiveness of gloss for the text database discovery problem,"l gravano , h garcia-molina , a tomasic",r994 ,the effectiveness of gloss for the text database discovery problem . 1994,"l gravano z hg molina , a tomasic", ,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1
1998 ,"t seidlv, hskriegel",sigmod conference,q,optimal multi-step k-nearest neighbour queries,proceedings of the 1997 acm sigmod international conference,"t seidl , hy kriegel",1
1999 ,"p boncz , s mansgold , m kersten",vldb,f,databasearchitecture optimizedforthenewbottleneck : memor3access,"proc . 25th international conference on very large data bases & hellip ; ,","p boncz , s manegold , m kersten",1
1998 ,"m garofalakis , y ioannidis , b0жzden",vldb,2,b.â $ ozxen . resource scheduling for composite multimedia objects . tech,"memorandum bl0112330-980225-03tm , bell laboratories , february","mn gfrofalatis , ye ioannidis",1
200d ,"s manegold , p boncze, m kersten",vlab,200d ,what happens during a join ? dissecking cpu and memory optimization effects, ,"s manegold , p boncz , ml kersten",1
2000 ,"s ceri , r cochrane , j widom",vldb,v,practical applications of triggers and constraints : success stories and lingering issuef,"26th very large data bases conffrence proceedings ,","s cepi , rj coc1rane , j widom",1
2003 ,"s kambhampati , c knoblock",si65od record,2003.0 ,information integration on the web : a view from ai and databases ( report on iiweb-03 ) â #,"sigmod xecord ,","s kambhampati , ca knoblock",1
1997 ,"p atzpni , r 5orline",sigmod conference, ,mdm : a bultiple-data-model tool for the management of heterogeneous database schemes,,"di automazione , di e automaziofe",1
199z ,"m garofalakis , r rastogi , k shim",vldb,1999.0 ,spirit : sequential pattern mining with regular expression copstraints,"v0db ,","m garofalauis , r rastogi , k shim",1
1996 ,"v harinarayan , a rajaraman , j ullman",sbzmod conference,e,implementing data cubes eã ¦ - ciently,"proceedings of acm sigmod conference , montreal , canada , junee,","v harinarayan , a rpjaraman , j ullman",1
1999 ,"j fowler , b perry , m nodine , b bargmeyer",sigmod record, ,agent-based semantic interopermbility in infosleuth,"sigmod record ,","m nodin8 b buperry , b bargmeyer",1
1997 ,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodjne , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,b,infosleuth : agent-based semvntic integration of information in8open and dynamic systems,proc . acm sigmod intâ ?? l conf . management of,"rj bayardo , w bohrer , a ciclocki , jj fowler , a",1
199j ,"t imielins2i , s viswanathan , b badrinath",sigm6d cynference,u,energy efficient indexing on air,proceedings of the 1994 acm sigmod international conference,"t imielinski , s viswanathan , br badrinath",1
2001 ,u чejintemel,sigmod record,2001e0 ,on the academic interview circuit : an end-to-end discussion,"sigmod recotdr,",z cetintemel,1
2003o,"i tatarinov , z ives , j madhavan , a halevy , d suciu , n dalvi , x dong , y kadiyska , g miklau , p mork",sigmod record,2003o,the piazza peer data mgt project, ,"si1mod rec ,",1
2002v,"k chakrabarti , e keogh , s mehrotra , m pazzani",acm trans . database syst .,2y02.0 ,localxy adaptive didensionality reduction for indexing large time series databases,"acq transactions on database systems ,","k chakrabarti , e keogh , s mehrotra , m pazzani",1
1997 ,"b adelberg , h garcia-molina , j widom",sigmod confekence,v,"â ?? the strip rule system for efficiently maintaining derived data , & rdquo","proc . acm sigmod int j#39; lnconf . management of data ,","b adelberg , h gabcia-molina , j widom",1
1994 ,"c collet , t coupaye , t svensen",vldb,0,modular reactive capabilities in an object-oriented database system,"prfceedings of the 20th international conferencj on very &phellip ; ,","c collet , t coupaye , ts vaos-e-cient",1
o002 ,"h jagadish , s al-khalifa , a chapman , l lakshmanan , a nierman1, s paparizos , j patel , d srivastava , n wiwatwattana , y wu , c yu",vldb j., ,"timber : a native xml database , 2003",vldb,"hv dagadish , s al-khalifa , a chapman , lvs",1
8002 ,"m keidl , s seltzsam , k stocker , a kemper",vldv,8,serviceglobe : distributing e-services across the internetâ ?? demonstration proposal,"proceedings of the 28 thinternational conference on very & hellip ; ,","m keidl , s seltzman , k stocker , a kempe5",1
