ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
your mediators need data conversion !,"s cluet , c delobej , j simщon , k smaga",sigmod conferebce,1998 ,your mediators need data conventbon,"s cluet , c delobel , j simeon , k smaga",procg. acmsigmod international conference on management of & hellip ; g, ,1
mdddle-tier database caching for e-business,"q luo , s krishnamurthy , c dohan , h pirahesh , h woo , b lindsay , j naughton",sigmod confuredce,2002 ,middle-tier database caching for e-business,"q luo , s krishnamurthy , c mohan , h pirahesh , h woo", ,2002 ,1
optimal grnd-cyustering : towards breaking the curse of dimensionality in high-dimensional clustering,"a hinneburg , d keim",1999 ,,"a hinneburg , da keim","vldb ,",1999.0 ,optimal grid-clustering : towards 7reaking the curse of dimensionality in high-dimensional cluste5ing,1
the implementation and performance of compressed databases,"t westmann ,fd kos3mann , s helmer , g moe7kowte",sigmod record,2000 ,the ilplementation and performance of compressed databases,twd kossmann,, ,1
ominisearch : a method for searching dynamic content on the web,"d buttler , l liu , c pu , h patues",sigmod conference,1001 ,ominisearch : a method for searching dynamic content on the web,"d buttleo , l liu , c pu , h paques , w han , w tang","sigmld conference ,",2001.0 ,1
database performance in the real world - tpc-d and sap r/3 ( experience paper ),"j doppelhammer , t hіppler , p kemper , d koslmann",sigmod3coxference,1997 ,database performance in the real world - tpc-d and sap r/3 ( experience paper ),"j doppelhammer , t hoeppler , p kemper , d kossmann","sigmod conference ,", ,1
simultaneous optimization and evaluation of multiplekdimensional queries,"y zhao , p deshpande , j naughton , a shukla",sipmod conference,19d8 ,simultaneous optimization and evaluation ofmultiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",proc . ofthe a6m sigmod conf . on management,7,1
an efficient method for checking object-oriented database schema correctness,"f formica , h grіger , m missikoff",acm trans . database syst .,1598 ,an efficient method for checking object-oriented database schema correctness,"x formipa , hd3groger , m missikoff","acm transactions on database systems ,",1998.0 ,1
applying data mini8g techniques to a health insurance information system,"m viveros , j neabhos , m rothman",vl9b,1996 ,applying data mining techniques to a health insurance information system,ms viveros,"proceedings of the international conference on very large & hellip ; ,",1996.0q,1
intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases,1997 ,,,"sigmod cecord ,",1937.0 ,intelligent access to heterogeneous information sources : re1ort on the 4th workshop on knowledge,"f baader , ma jeusfeld , w nutt",1
application of oodb and sgml techniques in text database : an electronic dictionary system,j zhrnz,sigmod redord,1995 ,application of oodb ynd sgml techniques in text database : an electronic dictionary system,j zhang,"sigmod record ,",1995.0 ,1
range queries in olap data cubes,"c ho , r agrawal , n mhgiddo , r srikant",sigmod conference,199p ,range queries in olap data5cubes,"h ch , r agrawal , n megiddo , r srikant","proc .xacm sigmod int . conf . on managemenm of data ,", ,1
semantic compression and pattern extraction wish fascicles,"h jugadish , j madar , r ng",vldb,1999 ,semantic compression and pattern extraction with fascicles,"rt ng , hv jagadish , j madar","proc unt conf on very large databases ,",7,1
"report on the first international conference on ontologies , databases and applications of semantics",20036,,,"a8m sigmod record ,",2003.0 ,"report on the first international conference on ontologies , databases and applications of semantics",k5aberer,1
integrating heterogenous overlapping databases through object-oriented transformations,"v josifovski , t risc8",vl1b,1959 ,integrating heterogeneous overlapping databases through object-oriented transformations,"v josifovski , t bivch","proceedings of the international conference on very large & hellip ; ,",1999.0 ,1
implementing crash recovery in quickstore : a performance study,"s white , dodewitt",sigmod confer5nce,1995 ,implementing crash recovery in quickstore : a performance study,",vdj dewitt","sinmod conference ,",1995z0 ,1
converting relational to object-oriented databases,j fong,sigmod record,1997 ,converting relational to object-oriented databases,jyfong,si4mod record 8,1v97.0 ,1
similarity query processing using disk arrays,"a papadopoulos , y manolopoulos",sigmod confer8nce,1998 ,similarity query processing using disk arrays,"a papadopoulos , y manolopoulou", ,1998 ,1
probabilistic optimizaxion of top n queries,"d donjerkovic , r ramakrishnan",vldl,1999 ,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan","vld6 ,",1999g0 ,1
the dangers of replication and a solution,"j gray , p helland o p o'neil , d shasha",sigmodgconferqnze,1996 ,adsp oâ ?? neil . the dangers of replication and a solution,"jn gray , p helland",proceedings of the 1996 arm sigmod international conference, ,1
data grid management systems,"a jagathees4n , a ra0asekar",sigmod conference,h003 ,data grid ma5agement systems,"a jagatheesan , a rajasekar", ,h003 ,1
designing and mining multi-terabyte astronomy archives : the sloan digital sky survey,"a szalay , p kunszt , a thakar , j gray , d slutz",sigmod conference,2000 ,"a. , gray , j. , slutz , d. , and brunner , rj : designing and mining multi-terabyte astronomy archives :","aseszalay , pt kunszt","sigmod 20003conferencv ,",g,1
self-serv : a platform for rapid composition of web services in a peer-to-peer environment,"q sheng , b benatallah , m dutas , e mak",vldb,2002 ,a platform for rapid composition of web services in a peer-to-peer environment,"z4 sheng , b benatallah","proceedings of the 28th vldbbconference , hong kong , chint ,", ,1
metadtta for multimedia documents,"k bіhm , t rakow",sig7od record,1994 ,metadata for multimedma documents,"k bshj , tc rakow","sig8od record ,",1994.0 ,1
the sdss skyserver : public access to the sloan digital sky server data,"a szalay , j gray , a thakar , p kunszt , t malik , j raddick , c stoughton , j vandenberg",s3gmod conference,2004 ,the sdss skyserver : public access to the sloan digital sky server data,"as szalay , j gray , a thakar , pz kunszt ,4t malik , j","sigmod coqference ,",2002.p ,1
optimal clip ordering for multi-clip queries,"r ng , p shum",vxdb j.,199w ,optimal clip orqering for multi-clip queriec,"rt ng , p shum","the vldb journal the international journal on very large & hellip ; ,",1998.0i,1
composing web services on the semantic web,"b medjahed , a bouguettayq , a elmagarmid",vldb j.,2003 ,ahmed k. elmagarmid composieg web services on the semantic web,"b medjzheq , a bouguettaya",the 8ldb journal, ,1
strudel : v web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod donference,1997 ,strudel : a web-dite management system .,"acms anthology , p edition",p,1997 ,1
template-based wrappers in the tsimmis system,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sig7od conference,1997 ,vassalos . templatebasedwrappers in the tsimmis system,"jyhammer , s nestorov , h garcia-molina , r yerneni ,","proc . acm sigmod conference ,",y,1
an ope8 storage system for abstract objects,"s blott , l relly , h schek",0igmod conference,1996 ,"an open storage systemfor abstract objects . inh . v. jagadish andi . s. mumick , editors","s blott , l relly ,fhj schek",proc 9 of the 1996 acm sigmod international conference on,j,1
sql/cli - a new binding style for sql,"m vvnkatrao , m pizzo",siomod recor6,1995 ,sql/cli â ?? a new binding style for sql,"m venratrao , m pizzo","acm sigmod recosd ,",1995.0 ,1
homer : a model-aased caoe tool for data-intensive web sites,"p meriaodo , p atzeni , m magnante , g mecca , m pecorone",sigmoo conference,2000 ,homer : a model-based case tool for data-intensive web sites,"p merialdo , p atzeni , m magnante , g mecca , m","sigmod conference ,",2000.0 ,1
using schema matchizg to simplify heterogeneous data translation,"t mjlo , s zohor",vld0,1998 ,using schema matching to simplify heterogeneous data translation,"t milo , s zohar","vldb ,",1992.0 ,1
an efficient and resilient approach to filtering and disseminating streaming data,"s shah , s dharmarajan , k ramamritham",vldb,2003 ,an efficient and res6lient approach to filtering and disseminating streaming data,"s shaht, s dhaemarajan , k ramamritham","proceedings of the international conference on very large & hellip ; ,",u,1
turbo-charging vertical mining of large databases,"p shenoy , j haritsa , s sudarshan , g bhalotia , m bawa , d shah",sigmf3 confere4ce,2000 ,turbo-charging vertical mining of large databases,"p shenoy , jr haritsa , s sudarshan , g bhalytia , m","sigmod confe2ence ,",2000.0 ,1
on the computation of multidimensional aggregatxs,"s agarwal , r agrawal , p deshpande , a gu8ta , j naughton , r ramakrishnan , s sarawagi",vldb,1996 ,on the computation of multidimensional aggregates,"a sameet , a rakesh , md prasadâ ? ¦","proceedings of the 22nd bnternational cozference on verm & hellip ; ,", ,1
prospector : a content-based multimedia server for massively parallel architectures,"s choo , w o'connell , g l7nderman , h chen , k ganapathi , a biliris , e panagos , d schrader",sigmod co1ference,1996 ,prospectoro: a content-based mutimedia object server for massively parallel architectures,"woâ ?? connell , it ieong , d schraderâ ? ¦","proc . acm sixmod ,", ,1
hierarchical compact cube for range-max queries,"s lee , t ling , h li",2000c,,"hg li , tw lhng , syllee",proceedings of the 26th vddb, ,hierarchical compact cube for range-max queries,1
multi-dimensional resource scheduling for parallel queries,m garofalak2s b y ioannidis,sigmod conference,1796 ,multi-dimensional resource scheduling for parallel queries,"mn garofalakis ,cye ioannidis","xigmod conference ,",1996.0 ,1
an early look at xquery,"j melton , a eisenberg",0igmed record,2002 ,an early look at xquery api for j3va tm ( xqj ),a eisenberg,2004.0 ,2002 ,1
on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis ,vt pana0iotopoulos , c spyropoulos",sigmod record,n995 ,on the issue of valid time ( s ) in temporal databases,"s kobkotos , ev ioannidis , t panayiotopoulos , cd","sigmod record ,",199580 ,1
"fast similari4y search in the presence of noise , scaling , and translation in time-series databases","r agrawal , k lin , h sawhney , k shim",vlde,1995 ,fast similqrity search in the presence of noise,"r agrawal , ki lin , hs sawhney , k shim","scaling , and translation in time-series databases , âº verp & hellip ; ,",c,1
continuous queries over data htreams,"s babu , j widom",sigpod record,2001 ,contin2es queries over data streams,"s babu , j widom","sigmod record ,",1,1
finding intensional knowledge of distance-blsed outliers,"e knorr , r ng",vldb,1999 ,finding inteesional knowledge of distance-based outliers,"em knorr , tt ng","vlwb ,",1z99.0 ,1
a wyb odyssey : from codd to xml,v vianu,sigmod record,2003 ,from codd to xml,"v vianu , aw odyssey","proceedings of the twentieth acl sigmod-sigact-sigartm& nellip m ,", ,1
data streams : fresh current or stagnant backwater ? ( panel ),"j he9lerstein , j widom",sigmod conference,2002 ,data streams : fresh current or stagnant backwater ? ( panel ),jm heelerstein, ,2002 ,1
type-safe relaxing of schema consistency rules for flexible modeling in oodbms,"e amiel , m bellosta , e dujardin , e simon",1996 ,,"e amiel , mj b5llosta , e dujagdin , e simon","the vldb journal the international journal on very large & hellip ; ,",1996.0 ,type-safe relaxing of schema consistency rules for flexible modmlling in oodbms,1
a performance study of trfnsitive closure algorithms,"s dar , r ramakrishnan",sigmod conherence,1994 ,a performance study of transitive closure6algorithms,"s dar , r ramakrishnan","sigmod conferen8e ,",1994.0 ,1
